state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,day_minutes,day_calls,day_charge,eve_minutes,eve_calls,eve_charge,night_minutes,night_calls,night_charge,intl_minutes,intl_calls,intl_charge,customer_service_calls,churn,total_minutes_domestic,total_minutes_all,total_charge_domestic,total_charge_all,total_calls_domestic,total_calls_all,customer_satisfaction
PA,112,510,0,0,0,217.1,76,36.91,205.2,100,17.44,185.7,91,8.36,9.4,3,2.54,2,0,608.0,617.4,62.709999999999994,65.25,267,270,0.7407407407407408
WI,16,510,0,0,0,229.6,78,39.03,205.7,108,17.48,166.2,91,7.48,10.8,2,2.92,0,1,601.5,612.3,63.99000000000001,66.91000000000001,277,279,0.0
TN,98,415,0,1,22,278.3,89,47.31,93.4,143,7.94,107.6,42,4.84,9.7,5,2.62,0,0,479.30000000000007,489.00000000000006,60.09,62.71,274,279,0.0
TX,84,408,0,0,0,138.6,102,23.56,199.0,93,16.92,204.1,137,9.18,7.8,4,2.11,0,0,541.7,549.5,49.660000000000004,51.77,332,336,0.0
OR,94,415,0,0,0,234.4,103,39.85,279.3,109,23.74,234.2,121,10.54,2.0,2,0.54,1,1,747.9000000000001,749.9000000000001,74.13,74.67,333,335,0.2985074626865672
IL,84,510,0,0,0,181.5,129,30.86,130.7,112,11.11,186.5,118,8.39,8.5,4,2.3,1,0,498.7,507.2,50.36,52.66,359,363,0.27548209366391185
DC,66,415,0,0,0,167.3,91,28.44,230.0,68,19.55,191.7,118,8.63,10.6,5,2.86,1,1,589.0,599.6,56.620000000000005,59.480000000000004,277,282,0.3546099290780142
GA,98,415,0,1,31,121.0,105,20.57,218.9,98,18.61,226.7,110,10.2,12.0,1,3.24,1,0,566.5999999999999,578.5999999999999,49.379999999999995,52.62,313,314,0.3184713375796179
ID,74,415,0,0,0,221.1,124,37.59,110.8,94,9.42,240.1,112,10.8,10.6,3,2.86,0,0,572.0,582.6,57.81,60.67,330,333,0.0
UT,96,408,0,1,26,145.8,108,24.79,192.2,89,16.34,165.1,96,7.43,9.9,2,2.67,1,0,503.1,513.0,48.559999999999995,51.23,293,295,0.3389830508474576
KY,119,510,0,0,0,222.8,122,37.88,163.2,107,13.87,160.6,112,7.23,11.2,6,3.02,1,0,546.6,557.8000000000001,58.980000000000004,62.00000000000001,341,347,0.2881844380403458
OH,73,415,0,0,0,183.4,80,31.18,242.0,115,20.57,201.4,100,9.06,7.5,3,2.03,4,0,626.8,634.3,60.81,62.84,295,298,1.342281879194631
WI,92,415,1,0,0,264.3,91,44.93,160.9,115,13.68,198.6,73,8.94,9.3,5,2.51,0,0,623.8000000000001,633.1,67.55,70.06,279,284,0.0
IL,21,415,0,0,0,146.0,78,24.82,109.7,79,9.32,247.4,108,11.13,6.8,7,1.84,0,0,503.1,509.90000000000003,45.27,47.11000000000001,265,272,0.0
DE,122,510,0,0,0,157.1,134,26.71,184.9,122,15.72,197.2,59,8.87,8.5,5,2.3,4,1,539.2,547.7,51.3,53.599999999999994,315,320,1.25
RI,133,510,1,0,0,127.3,108,21.64,251.3,81,21.36,135.0,88,6.08,10.3,3,2.78,1,0,513.6,523.9,49.08,51.86,277,280,0.35714285714285715
TX,145,415,0,0,0,187.9,110,31.94,197.0,117,16.75,167.0,108,7.52,4.8,4,1.3,2,0,551.9,556.6999999999999,56.209999999999994,57.50999999999999,335,339,0.5899705014749262
OR,25,408,0,0,0,178.8,90,30.4,141.2,72,12.0,203.0,99,9.14,8.4,5,2.27,2,0,523.0,531.4,51.54,53.81,261,266,0.7518796992481203
NV,64,415,0,0,0,97.2,80,16.52,186.2,90,15.83,189.0,92,8.5,10.4,6,2.81,2,0,472.4,482.79999999999995,40.85,43.660000000000004,262,268,0.7462686567164178
NE,85,415,0,0,0,259.8,85,44.17,242.3,117,20.6,168.8,72,7.6,5.4,1,1.46,0,0,670.9000000000001,676.3000000000001,72.37,73.83,274,275,0.0
MS,126,415,0,0,0,256.5,112,43.61,199.5,90,16.96,188.3,122,8.47,7.0,5,1.89,3,0,644.3,651.3,69.04,70.93,324,329,0.911854103343465
OR,76,415,0,0,0,169.5,77,28.82,124.0,87,10.54,219.4,92,9.87,10.0,3,2.7,0,0,512.9,522.9,49.23,51.93,256,259,0.0
DE,113,415,0,0,0,239.7,47,40.75,282.9,110,24.05,238.4,88,10.73,8.7,3,2.35,2,1,760.9999999999999,769.6999999999999,75.53,77.88,245,248,0.8064516129032258
DE,224,510,1,0,0,171.5,99,29.16,160.0,103,13.6,212.4,102,9.56,5.0,2,1.35,1,1,543.9,548.9,52.32,53.67,304,306,0.32679738562091504
AZ,117,408,0,0,0,239.9,84,40.78,174.8,106,14.86,209.5,93,9.43,9.8,2,2.65,0,0,624.2,634.0,65.07,67.72,283,285,0.0
SD,128,408,0,1,34,142.3,73,24.19,194.8,79,16.56,239.3,81,10.77,16.0,6,4.32,1,0,576.4000000000001,592.4000000000001,51.519999999999996,55.839999999999996,233,239,0.41841004184100417
NV,115,415,0,0,0,184.1,98,31.3,327.0,73,27.8,212.5,106,9.56,7.5,6,2.03,2,0,723.6,731.1,68.66,70.69,277,283,0.7067137809187279
NM,141,415,0,1,28,206.9,126,35.17,264.4,126,22.47,171.8,124,7.73,9.3,11,2.51,2,0,643.0999999999999,652.3999999999999,65.37,67.88000000000001,376,387,0.516795865633075
MN,51,510,0,0,0,259.9,114,44.18,176.2,94,14.98,77.2,112,3.47,15.3,1,4.13,1,0,513.3,528.5999999999999,62.629999999999995,66.75999999999999,320,321,0.3115264797507788
NJ,100,415,0,0,0,203.8,122,34.65,283.1,76,24.06,197.3,83,8.88,12.5,3,3.38,0,0,684.2,696.7,67.58999999999999,70.96999999999998,281,284,0.0
IN,96,415,0,1,45,248.8,124,42.3,140.3,77,11.93,263.6,102,11.86,10.3,2,2.78,3,0,652.7,663.0,66.09,68.87,303,305,0.9836065573770493
DC,112,415,0,1,16,221.6,110,37.67,130.2,123,11.07,200.0,108,9.0,11.3,3,3.05,1,0,551.8,563.0999999999999,57.74,60.79,341,344,0.29069767441860467
MA,129,510,1,0,0,192.9,131,32.79,185.5,101,15.77,205.2,130,9.23,10.9,4,2.94,1,0,583.5999999999999,594.4999999999999,57.790000000000006,60.730000000000004,362,366,0.273224043715847
ME,163,415,0,0,0,122.4,129,20.81,113.4,108,9.64,180.2,97,8.11,12.5,7,3.38,1,0,416.0,428.5,38.56,41.940000000000005,334,341,0.2932551319648094
NH,67,415,0,1,40,104.9,65,17.83,216.3,93,18.39,217.4,128,9.78,9.6,9,2.59,1,0,538.6,548.2,46.0,48.59,286,295,0.3389830508474576
AZ,140,408,0,0,0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3,0,579.3,590.5,55.59,58.61000000000001,325,330,0.9090909090909091
OR,49,510,0,0,0,119.4,69,20.3,273.3,92,23.23,214.4,153,9.65,12.4,7,3.35,2,0,607.1,619.5,53.18,56.53,314,321,0.6230529595015576
KS,46,510,0,0,0,250.3,100,42.55,260.6,90,22.15,195.0,104,8.78,13.3,2,3.59,2,1,705.9000000000001,719.2,73.47999999999999,77.07,294,296,0.6756756756756757
NE,148,415,0,0,0,178.3,98,30.31,282.6,110,24.02,181.0,98,8.15,11.4,4,3.08,1,0,641.9000000000001,653.3000000000001,62.48,65.56,306,310,0.3225806451612903
MI,112,510,0,0,0,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,2,3.46,1,0,684.7,697.5,68.52,71.97999999999999,268,270,0.3703703703703704
SC,78,415,0,0,0,155.0,106,26.35,175.3,101,14.9,155.6,125,7.0,11.8,5,3.19,2,0,485.9,497.7,48.25,51.44,332,337,0.5934718100890208
PA,61,408,0,1,31,288.7,101,49.08,203.8,102,17.32,203.2,49,9.14,8.6,3,2.32,0,0,695.7,704.3000000000001,75.54,77.86,252,255,0.0
MT,58,510,0,1,29,240.4,80,40.87,118.9,91,10.11,164.2,108,7.39,11.2,3,3.02,1,0,523.5,534.7,58.37,61.39,279,282,0.3546099290780142
NM,155,415,0,0,0,190.3,123,32.35,301.3,96,25.61,214.6,134,9.66,8.0,3,2.16,1,0,706.2,714.2,67.62,69.78,353,356,0.2808988764044944
OH,100,510,0,0,0,278.0,76,47.26,176.7,74,15.02,219.5,126,9.88,8.3,4,2.24,0,1,674.2,682.5,72.16,74.39999999999999,276,280,0.0
WY,113,510,0,0,0,155.0,93,26.35,330.6,106,28.1,189.4,123,8.52,13.5,3,3.65,1,0,675.0,688.5,62.97,66.62,322,325,0.3076923076923077
MI,81,415,0,0,0,153.5,99,26.1,197.6,102,16.8,198.5,86,8.93,6.3,2,1.7,2,0,549.6,555.9,51.830000000000005,53.53000000000001,287,289,0.6920415224913495
AR,135,510,0,1,27,273.4,141,46.48,154.0,99,13.09,245.8,112,11.06,12.3,6,3.32,1,0,673.2,685.5,70.63,73.94999999999999,352,358,0.27932960893854747
FL,99,408,0,0,0,155.3,93,26.4,265.7,95,22.58,145.7,67,6.56,12.4,4,3.35,0,0,566.7,579.1,55.54,58.89,255,259,0.0
AR,59,510,0,1,29,133.1,114,22.63,221.2,82,18.8,131.6,103,5.92,6.8,3,1.84,1,0,485.9,492.7,47.35,49.190000000000005,299,302,0.33112582781456956
MO,135,510,0,0,0,246.8,129,41.96,187.8,121,15.96,154.5,109,6.95,12.6,5,3.4,1,0,589.1,601.7,64.87,68.27000000000001,359,364,0.27472527472527475
WI,85,408,1,0,0,165.4,107,28.12,196.0,126,16.66,349.2,110,15.71,9.6,7,2.59,2,0,710.5999999999999,720.1999999999999,60.49,63.08,343,350,0.5714285714285714
TX,70,510,0,0,0,59.5,103,10.12,257.2,106,21.86,208.3,86,9.37,11.1,6,3.0,0,0,525.0,536.1,41.349999999999994,44.349999999999994,295,301,0.0
TX,88,510,0,0,0,138.3,116,23.51,236.0,138,20.06,179.1,110,8.06,9.6,4,2.59,3,0,553.4,563.0,51.63,54.22,364,368,0.8152173913043478
NM,55,510,0,0,0,286.7,100,48.74,134.4,121,11.42,192.9,122,8.68,6.9,5,1.86,2,0,614.0,620.9,68.84,70.7,343,348,0.5747126436781609
GA,75,415,0,0,0,117.3,114,19.94,201.1,61,17.09,107.9,82,4.86,12.2,3,3.29,1,0,426.29999999999995,438.49999999999994,41.89,45.18,257,260,0.38461538461538464
ID,79,510,0,1,21,264.3,79,44.93,202.8,118,17.24,173.4,92,7.8,6.3,3,1.7,4,0,640.5,646.8,69.97,71.67,289,292,1.36986301369863
AL,85,408,0,0,0,127.9,107,21.74,271.2,124,23.05,202.2,76,9.1,12.5,5,3.38,0,0,601.3,613.8,53.89,57.27,307,312,0.0
KS,86,408,0,1,23,225.5,107,38.34,246.3,105,20.94,245.7,81,11.06,9.8,2,2.65,0,0,717.5,727.3,70.34,72.99000000000001,293,295,0.0
SD,91,510,0,0,0,149.0,115,25.33,245.3,105,20.85,260.0,94,11.7,8.3,3,2.24,0,0,654.3,662.5999999999999,57.879999999999995,60.12,314,317,0.0
LA,149,415,0,1,20,198.9,77,33.81,274.0,88,23.29,190.7,76,8.58,14.3,9,3.86,1,0,663.5999999999999,677.8999999999999,65.68,69.54,241,250,0.4
OH,97,408,0,0,0,256.4,125,43.59,273.9,100,23.28,222.7,101,10.02,11.1,1,3.0,1,1,753.0,764.1,76.89,79.89,326,327,0.3058103975535168
MA,88,415,0,0,0,264.8,124,45.02,245.4,112,20.86,160.5,115,7.22,14.8,2,4.0,1,1,670.7,685.5,73.1,77.1,351,353,0.28328611898017
AZ,60,415,0,0,0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2,0,502.29999999999995,511.59999999999997,42.09,44.6,226,228,0.8771929824561403
KY,54,408,0,0,0,159.8,99,27.17,264.0,64,22.44,115.7,70,5.21,9.7,7,2.62,2,0,539.5,549.2,54.82,57.44,233,240,0.8333333333333334
DC,11,415,0,1,28,190.6,86,32.4,220.1,122,18.71,180.3,80,8.11,6.0,3,1.62,3,0,591.0,597.0,59.22,60.839999999999996,288,291,1.0309278350515463
WA,109,415,0,0,0,184.0,120,31.28,120.4,119,10.23,153.7,86,6.92,11.0,3,2.97,0,0,458.09999999999997,469.09999999999997,48.43000000000001,51.400000000000006,325,328,0.0
UT,90,415,0,0,0,261.8,128,44.51,220.6,104,18.75,136.6,91,6.15,9.6,5,2.59,1,0,619.0,628.6,69.41,72.0,323,328,0.3048780487804878
RI,115,408,0,0,0,147.9,109,25.14,228.4,117,19.41,299.7,90,13.49,9.6,9,2.59,3,0,676.0,685.6,58.04,60.629999999999995,316,325,0.9230769230769231
OH,144,415,0,1,18,106.4,109,18.09,108.1,113,9.19,208.4,111,9.38,10.1,5,2.73,1,0,422.9,433.0,36.660000000000004,39.39,333,338,0.2958579881656805
NV,91,408,0,0,0,133.7,75,22.73,195.3,87,16.6,280.5,89,12.62,5.9,2,1.59,0,0,609.5,615.4,51.949999999999996,53.54,251,253,0.0
ND,105,415,0,1,23,193.5,85,32.9,220.2,90,18.72,272.4,111,12.26,8.5,5,2.3,0,0,686.0999999999999,694.5999999999999,63.879999999999995,66.17999999999999,286,291,0.0
NV,71,415,1,0,0,178.2,113,30.29,167.8,94,14.26,182.1,111,8.19,13.6,3,3.67,3,1,528.1,541.7,52.739999999999995,56.41,318,321,0.9345794392523363
FL,132,510,0,1,36,226.2,103,38.45,181.6,125,15.44,258.8,102,11.65,10.5,5,2.84,3,1,666.5999999999999,677.0999999999999,65.54,68.38000000000001,330,335,0.8955223880597015
MD,112,415,0,0,0,170.4,103,28.97,200.2,71,17.02,258.3,100,11.62,11.6,4,3.13,1,0,628.9000000000001,640.5000000000001,57.60999999999999,60.739999999999995,274,278,0.3597122302158274
AZ,86,415,0,1,32,70.9,163,12.05,166.7,121,14.17,244.9,105,11.02,11.1,5,3.0,3,0,482.5,493.6,37.239999999999995,40.239999999999995,389,394,0.7614213197969544
AL,41,510,0,1,34,194.4,63,33.05,254.9,110,21.67,160.2,115,7.21,17.2,9,4.64,2,0,609.5,626.7,61.93,66.57,288,297,0.6734006734006733
NE,44,415,0,0,0,240.3,146,40.85,164.6,83,13.99,240.7,106,10.83,10.6,2,2.86,1,0,645.5999999999999,656.1999999999999,65.67,68.53,335,337,0.2967359050445104
NV,78,408,0,0,0,75.0,116,12.75,248.7,87,21.14,176.0,83,7.92,9.5,6,2.57,3,0,499.7,509.2,41.81,44.38,286,292,1.0273972602739725
IL,149,408,0,0,0,69.1,117,11.75,136.3,100,11.59,181.7,53,8.18,6.3,3,1.7,1,0,387.1,393.40000000000003,31.52,33.22,270,273,0.3663003663003663
WV,72,510,0,1,33,96.6,59,16.42,315.4,98,26.81,163.3,117,7.35,6.2,4,1.67,4,1,575.3,581.5,50.580000000000005,52.25000000000001,274,278,1.4388489208633095
MI,139,415,0,1,20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,12,4.0,0,0,612.5,627.3,63.78999999999999,67.78999999999999,365,377,0.0
AR,74,510,0,0,0,148.5,111,25.25,146.5,42,12.45,289.2,83,13.01,9.9,6,2.67,3,0,584.2,594.1,50.71,53.38,236,242,1.2396694214876034
UT,50,510,0,0,0,258.1,106,43.88,161.4,106,13.72,225.1,110,10.13,11.7,5,3.16,1,0,644.6,656.3000000000001,67.73,70.89,322,327,0.3058103975535168
GA,141,510,0,1,23,149.7,112,25.45,162.5,118,13.81,220.3,115,9.91,7.6,2,2.05,3,0,532.5,540.1,49.17,51.22,345,347,0.8645533141210375
AZ,140,408,0,0,0,149.8,134,25.47,164.4,98,13.97,294.7,124,13.26,8.1,2,2.19,1,0,608.9000000000001,617.0000000000001,52.699999999999996,54.88999999999999,356,358,0.27932960893854747
ID,99,408,0,0,0,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2,0,620.0,631.2,58.029999999999994,61.05,301,305,0.6557377049180327
HI,166,408,0,0,0,181.4,108,30.84,253.8,54,21.57,112.3,94,5.05,11.6,6,3.13,1,0,547.5,559.1,57.459999999999994,60.589999999999996,256,262,0.38167938931297707
NV,124,408,0,0,0,151.1,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1,0,593.9,599.1999999999999,53.11000000000001,54.540000000000006,320,323,0.30959752321981426
MD,74,415,0,0,0,155.7,116,26.47,173.7,63,14.76,257.4,97,11.58,8.1,4,2.19,0,0,586.8,594.9,52.809999999999995,54.99999999999999,276,280,0.0
GA,117,510,0,0,0,149.9,95,25.48,256.1,110,21.77,212.7,92,9.57,13.3,13,3.59,2,0,618.7,632.0,56.82,60.41,297,310,0.6451612903225806
GA,85,510,0,0,0,222.3,132,37.79,231.5,101,19.68,223.5,75,10.06,11.0,2,2.97,3,0,677.3,688.3,67.53,70.5,308,310,0.967741935483871
UT,36,415,0,1,16,149.4,111,25.4,131.8,113,11.2,132.7,87,5.97,6.7,2,1.81,0,0,413.90000000000003,420.6,42.56999999999999,44.379999999999995,311,313,0.0
MA,102,510,1,0,0,233.8,103,39.75,221.6,131,18.84,146.9,106,6.61,12.8,3,3.46,0,0,602.3,615.0999999999999,65.2,68.66,340,343,0.0
IN,76,415,0,0,0,204.2,100,34.71,292.6,139,24.87,244.3,105,10.99,10.5,2,2.84,0,0,741.1,751.6,70.57,73.41,344,346,0.0
VT,165,510,0,0,0,242.9,126,41.29,209.8,65,17.83,228.4,126,10.28,0.0,0,0.0,1,0,681.1,681.1,69.39999999999999,69.39999999999999,317,317,0.31545741324921134
IA,130,415,0,0,0,150.4,119,25.57,230.5,99,19.59,186.3,76,8.38,12.3,4,3.32,1,0,567.2,579.5,53.54,56.86,294,298,0.33557046979865773
IN,78,415,0,0,0,208.9,119,35.51,252.4,132,21.45,280.2,120,12.61,12.8,7,3.46,0,0,741.5,754.3,69.57,73.02999999999999,371,378,0.0
AL,55,415,1,0,0,191.9,91,32.62,256.1,110,21.77,203.7,101,9.17,14.3,6,3.86,1,1,651.7,666.0,63.56,67.42,302,308,0.3246753246753247
ME,92,415,1,0,0,130.7,113,22.22,260.6,122,22.15,244.2,98,10.99,9.4,2,2.54,2,1,635.5,644.9,55.36,57.9,333,335,0.5970149253731344
RI,129,415,0,1,33,119.6,104,20.33,278.7,88,23.69,263.4,175,11.85,5.9,2,1.59,2,0,661.6999999999999,667.5999999999999,55.87,57.46,367,369,0.5420054200542005
MD,18,408,0,0,0,273.6,93,46.51,114.6,116,9.74,250.6,120,11.28,8.2,4,2.21,1,0,638.8000000000001,647.0000000000001,67.53,69.74,329,333,0.3003003003003003
FL,161,415,1,0,0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,9,3.0,2,0,516.0,527.1,49.949999999999996,52.949999999999996,292,301,0.6644518272425249
CA,93,415,0,1,36,178.7,134,30.38,178.6,102,15.18,126.8,82,5.71,8.0,4,2.16,2,0,484.09999999999997,492.09999999999997,51.27,53.43000000000001,318,322,0.6211180124223602
AL,144,415,0,0,0,177.5,93,30.18,287.4,75,24.43,180.5,118,8.12,11.9,3,3.21,2,0,645.4,657.3,62.73,65.94,286,289,0.6920415224913495
ME,75,408,1,0,0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,1,492.79999999999995,502.49999999999994,52.82000000000001,55.440000000000005,243,247,1.6194331983805668
WV,95,415,0,0,0,175.2,91,29.78,244.4,109,20.77,75.8,95,3.41,7.5,2,2.03,1,0,495.40000000000003,502.90000000000003,53.959999999999994,55.989999999999995,295,297,0.33670033670033667
SD,126,415,0,1,23,114.3,102,19.43,190.3,103,16.18,240.4,111,10.82,12.6,7,3.4,3,0,545.0,557.6,46.43,49.83,316,323,0.9287925696594427
FL,124,415,0,1,28,251.4,104,42.74,225.1,89,19.13,251.9,121,11.34,7.5,5,2.03,1,0,728.4,735.9,73.21000000000001,75.24000000000001,314,319,0.3134796238244514
MI,93,415,1,0,0,216.9,61,36.87,207.4,120,17.63,221.7,110,9.98,17.5,5,4.73,1,1,646.0,663.5,64.48,69.21000000000001,291,296,0.33783783783783783
MI,109,415,1,1,26,217.2,138,36.92,145.5,111,12.37,280.7,76,12.63,9.3,3,2.51,0,0,643.4,652.6999999999999,61.92,64.43,325,328,0.0
NM,80,510,0,0,0,206.3,97,35.07,154.9,98,13.17,263.6,82,11.86,12.4,12,3.35,0,0,624.8000000000001,637.2,60.1,63.45,277,289,0.0
AK,41,415,0,0,0,159.3,66,27.08,125.9,75,10.7,261.9,76,11.79,11.1,5,3.0,1,0,547.1,558.2,49.57,52.57,217,222,0.45045045045045046
OH,136,415,0,1,31,143.1,88,24.33,236.6,65,20.11,227.8,120,10.25,11.4,5,3.08,2,0,607.5,618.9,54.69,57.769999999999996,273,278,0.7194244604316548
MO,92,415,0,0,0,154.0,122,26.18,329.8,88,28.03,288.0,117,12.96,5.6,2,1.51,3,1,771.8,777.4,67.17,68.68,327,329,0.911854103343465
KS,143,408,0,1,24,186.6,69,31.72,222.0,116,18.87,234.9,138,10.57,11.6,5,3.13,1,0,643.5,655.1,61.160000000000004,64.29,323,328,0.3048780487804878
MS,118,415,0,1,26,170.8,114,29.04,199.5,125,16.96,169.7,98,7.64,9.6,5,2.59,5,1,540.0,549.6,53.64,56.230000000000004,337,342,1.461988304093567
VT,193,408,0,1,17,124.0,102,21.08,202.9,81,17.25,205.1,129,9.23,12.3,3,3.32,1,0,532.0,544.3,47.56,50.88,312,315,0.31746031746031744
NE,73,415,0,0,0,198.3,94,33.71,279.3,101,23.74,146.2,87,6.58,14.8,8,4.0,3,0,623.8,638.5999999999999,64.03,68.03,282,290,1.0344827586206897
VA,62,408,0,0,0,172.8,101,29.38,204.8,97,17.41,240.8,90,10.84,9.1,8,2.46,2,0,618.4000000000001,627.5000000000001,57.629999999999995,60.089999999999996,288,296,0.6756756756756757
DE,30,415,0,1,30,217.4,74,36.96,213.8,86,18.17,227.2,104,10.22,6.6,3,1.78,0,0,658.4000000000001,665.0000000000001,65.35000000000001,67.13000000000001,264,267,0.0
AL,60,408,1,1,29,265.9,113,45.2,215.8,94,18.34,108.1,82,4.86,14.0,12,3.78,0,1,589.8,603.8,68.4,72.18,289,301,0.0
ID,148,510,0,1,14,93.6,137,15.91,193.8,72,16.47,144.9,84,6.52,17.5,5,4.73,1,0,432.29999999999995,449.79999999999995,38.89999999999999,43.629999999999995,293,298,0.33557046979865773
MS,96,510,0,0,0,98.2,100,16.69,307.2,88,26.11,182.5,120,8.21,7.6,1,2.05,2,0,587.9,595.5,51.01,53.059999999999995,308,309,0.6472491909385114
OK,52,408,0,0,0,214.7,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2,0,496.69999999999993,506.0999999999999,55.53,58.07,320,324,0.6172839506172839
NM,87,415,0,0,0,168.2,92,28.59,224.7,100,19.1,169.5,99,7.63,12.9,3,3.48,1,0,562.4,575.3,55.32,58.8,291,294,0.3401360544217687
WI,41,408,0,0,0,202.9,97,34.49,153.8,104,13.07,113.5,92,5.11,9.0,3,2.43,3,0,470.20000000000005,479.20000000000005,52.67,55.1,293,296,1.0135135135135136
WV,112,415,0,0,0,261.4,108,44.44,154.5,102,13.13,130.9,90,5.89,11.6,2,3.13,1,0,546.8,558.4,63.46,66.59,300,302,0.33112582781456956
SC,88,510,0,0,0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4,1,474.29999999999995,482.49999999999994,36.96,39.17,244,247,1.6194331983805668
KY,122,408,0,1,27,253.7,84,43.13,229.2,109,19.48,190.5,123,8.57,9.2,5,2.48,7,0,673.4,682.6,71.18,73.66000000000001,316,321,2.1806853582554515
MO,61,408,0,0,0,45.0,108,7.65,151.3,74,12.86,152.9,94,6.88,9.8,6,2.65,2,0,349.20000000000005,359.00000000000006,27.389999999999997,30.039999999999996,276,282,0.7092198581560284
IL,87,510,0,0,0,231.3,105,39.32,171.7,108,14.59,67.7,136,3.05,13.0,6,3.51,1,0,470.7,483.7,56.959999999999994,60.46999999999999,349,355,0.28169014084507044
OK,176,408,0,0,0,47.4,125,8.06,167.8,90,14.26,163.1,107,7.34,10.5,8,2.84,2,0,378.3,388.8,29.66,32.5,322,330,0.6060606060606061
MI,30,510,0,0,0,227.4,88,38.66,182.5,100,15.51,191.7,134,8.63,12.5,3,3.38,0,0,601.5999999999999,614.0999999999999,62.8,66.17999999999999,322,325,0.0
NJ,95,415,0,1,22,40.9,126,6.95,133.4,90,11.34,264.2,91,11.89,11.9,7,3.21,0,0,438.5,450.4,30.18,33.39,307,314,0.0
ID,46,415,0,0,0,124.8,133,21.22,157.3,143,13.37,199.3,72,8.97,8.6,4,2.32,2,0,481.40000000000003,490.00000000000006,43.559999999999995,45.879999999999995,348,352,0.5681818181818182
DC,100,510,1,0,0,68.5,110,11.65,337.1,115,28.65,205.2,99,9.23,12.1,9,3.27,0,0,610.8,622.9,49.53,52.800000000000004,324,333,0.0
NY,47,415,0,1,37,163.5,77,27.8,203.1,102,17.26,232.0,87,10.44,7.8,4,2.11,2,0,598.6,606.4,55.5,57.61,266,270,0.7407407407407408
AL,77,415,0,0,0,163.0,112,27.71,219.1,89,18.62,233.4,66,10.5,6.7,3,1.81,2,0,615.5,622.2,56.83,58.64,267,270,0.7407407407407408
OR,98,415,0,1,38,213.7,61,36.33,253.0,104,21.51,207.7,73,9.35,10.7,5,2.89,2,0,674.4,685.1,67.19,70.08,238,243,0.823045267489712
OK,125,415,0,1,36,201.3,117,34.22,42.2,78,3.59,125.7,104,5.66,5.4,3,1.46,1,0,369.2,374.59999999999997,43.47,44.93,299,302,0.33112582781456956
LA,67,510,0,0,0,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,9.2,10,2.48,4,0,623.4,632.6,69.51,71.99000000000001,319,329,1.21580547112462
NE,194,408,0,0,0,48.4,101,8.23,281.1,138,23.89,218.5,87,9.83,18.2,1,4.91,1,0,548.0,566.2,41.95,46.86,326,327,0.3058103975535168
TX,128,415,0,1,40,171.2,88,29.1,145.7,109,12.38,196.8,93,8.86,14.0,6,3.78,1,0,513.7,527.7,50.34,54.120000000000005,290,296,0.33783783783783783
UT,190,415,0,1,22,166.5,93,28.31,183.0,92,15.56,121.0,102,5.44,8.5,3,2.3,0,0,470.5,479.0,49.309999999999995,51.60999999999999,287,290,0.0
OR,165,415,0,0,0,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0,0,632.0999999999999,644.4999999999999,63.15,66.5,353,361,0.0
NY,59,408,0,0,0,107.8,113,18.33,216.6,125,18.41,217.5,92,9.79,9.9,3,2.67,2,0,541.9,551.8,46.529999999999994,49.199999999999996,330,333,0.6006006006006006
AL,47,408,0,1,28,141.3,94,24.02,168.0,108,14.28,113.5,84,5.11,7.8,2,2.11,1,0,422.8,430.6,43.41,45.519999999999996,286,288,0.3472222222222222
RI,150,415,0,1,29,209.9,77,35.68,158.0,52,13.43,141.9,113,6.39,6.6,1,1.78,0,0,509.79999999999995,516.4,55.5,57.28,242,243,0.0
MN,152,415,1,1,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9,1,756.0999999999999,770.3,73.85,77.67999999999999,294,297,3.0303030303030303
NC,26,415,0,0,0,234.5,109,39.87,216.5,129,18.4,191.6,94,8.62,3.5,6,0.95,3,0,642.6,646.1,66.89,67.84,332,338,0.8875739644970414
MD,79,510,0,1,31,103.1,90,17.53,243.0,135,20.66,76.4,92,3.44,12.2,8,3.29,3,0,422.5,434.7,41.629999999999995,44.919999999999995,317,325,0.9230769230769231
RI,95,510,0,1,27,129.5,106,22.02,248.9,90,21.16,268.0,115,12.06,11.9,3,3.21,1,0,646.4,658.3,55.24,58.45,311,314,0.3184713375796179
